Student id, % Result, Total Movements, Avg t to Answering, Avg t to Reviewg, Num Q Gussed, Num Q Uncertin, Num Q Ans Changed, % Q Answered, Avg Q Visits Before Final Ans, Num Skips,Avg t Correct Ans, Avg t Wrong Ans,Num W to R,Num R to W,Num W to W 
1,85.56,315, 00:00:48.6666667, 00:00:09.3333333,12,1,4,100,0.769230769,4, 00:00:50.7692308, 00:00:48.3116883,1,2,1
2,72.22,221, 00:00:42, 00:00:14.6666667,10,0,5,100,1.0625,10, 00:00:40.8000000, 00:00:42.4615385,3,0,2
3,82.22,250, 00:01:02.6666667, 00:00:26,9,1,5,100,0.833333333,15, 00:01:22.5000000, 00:00:58.3783784,2,1,2
4,75.56,134, 00:01:19.3333333, 00:00:06.6666667,4,6,4,100,0.740740741,16, 00:01:21.8181818, 00:01:18.5294118,2,0,2
5,73.33,167, 00:01:11.3333333, 00:00:18.6666667,5,4,6,100,1,24, 00:01:32.5000000, 00:01:03.6363636,5,0,1
6,70,388, 00:00:50.6666667, 00:00:46.6666667,18,5,11,100,1.0625,2, 00:01:13.3333333, 00:00:40.9523810,3,5,3
7,75.56,407, 00:01:11.3333333, 00:00:26,12,5,10,100,2.333333333,26, 00:02:21.8181818, 00:00:48.5294118,3,4,3
8,86.67,389, 00:01:12, 00:00:18.6666667,5,2,7,100,0.777777778,6, 00:01:40, 00:01:07.6923077,4,1,2
9,58.89,431, 00:01:09.3333333, 00:00:21.3333333,12,2,8,100,1.72,70, 00:01:21.0810811, 00:01:01.1320755,3,3,2
10,76.67,284, 00:01:04, 00:00:26,10,4,8,100,0.107692308,4, 00:01:17.1428571, 00:01:00,6,1,4
11,58.89,398, 00:01:09.3333333, 00:00:32,11,7,14,100,0.430769231,11, 00:01:37.2972973, 00:00:49.8113208,8,5,8
12,77.78,158, 00:01:17.3333333, 00:00:30.6666667,13,5,8,100,0.183333333,3, 00:02:30, 00:00:56.5714286,3,2,3
13,81.11,412, 00:00:34.6666667, 00:00:30.6666667,22,1,3,100,0.660714286,33, 00:00:56.4705882, 00:00:29.5890411,3,1,1
14,70,432, 00:01:00.6666667, 00:00:40,10,4,20,100,0.484848485,8, 00:01:04.4444444, 00:00:59.0476190,17,5,5
15,81.11,504, 00:00:42.6666667, 00:00:59.3333333,21,3,19,100,0.413793103,5, 00:01:10.5882353, 00:00:36.1643836,16,4,3
16,78.89,406, 00:00:30.6666667, 00:00:25.3333333,25,0,10,100,0.395348837,12, 00:00:47.3684211, 00:00:26.1971831,6,4,1
17,83.33,365, 00:00:52, 00:00:46.6666667,20,4,8,100,0.224489796,1, 00:01:32, 00:00:44,5,3,3
18,73.33,287, 00:00:42.6666667, 00:00:15.3333333,16,1,11,100,0.12244898,1, 00:00:55, 00:00:38.1818182,4,6,5
19,82.22,390, 00:00:41.3333333, 00:00:46,13,1,8,100,0.161290323,3, 00:00:48.7500000, 00:00:39.7297297,5,2,5
20,86.67,159, 00:01:11.3333333, 00:00:36.6666667,16,8,7,100,0.191489362,1, 00:01:25, 00:01:09.2307692,7,0,2
21,72.22,171, 00:01:20, 00:00:41.3333333,19,7,17,100,0.772727273,35, 00:01:12, 00:01:23.0769231,11,4,2
22,71.11,287, 00:00:52.6666667, 00:00:14.6666667,8,0,6,100,0.278688525,14, 00:01:09.2307692, 00:00:45.9375000,1,3,3
23,71.11,533, 00:00:33.3333333, 00:00:38,29,3,11,100,1.06,31, 00:00:53.0769231, 00:00:25.3125000,4,8,5
24,76.67,358, 00:00:48.6666667, 00:00:45.3333333,18,3,8,100,0.107142857,2, 00:01:05.7142857, 00:00:43.4782609,5,1,2
25,71.11,319, 00:00:38.6666667, 00:00:24,22,1,10,100,0.25,7, 00:01:04.6153846, 00:00:28.1250000,4,5,7
26,74.44,156, 00:01:22, 00:00:16,7,8,6,100,0.083333333,1, 00:01:13.0434783, 00:01:25.0746269,5,1,0
27,72.22,450, 00:00:33.3333333, 00:00:19.3333333,22,0,7,100,0.208333333,4, 00:00:48, 00:00:27.6923077,3,2,4
28,77.78,526, 00:01:01.3333333, 00:00:41.3333333,17,4,23,100,0.985074627,50, 00:01:48, 00:00:48,12,8,8
29,60,288, 00:00:54.6666667, 00:00:08,8,1,4,100,0.459016393,27, 00:01:15, 00:00:41.1111111,1,1,2
30,85.56,383, 00:00:30.6666667, 00:00:32,27,1,12,100,0.431372549,15, 00:00:50.7692308, 00:00:27.2727273,13,3,2
31,84.44,419, 00:00:48.6666667, 00:00:54,22,2,18,100,0.301886792,5, 00:01:38.5714286, 00:00:39.4736842,17,2,6
32,57.78,336, 00:01:08.6666667, 00:00:20.6666667,11,6,2,100,0.04,1, 00:01:14.2105263, 00:01:04.6153846,2,1,0
33,83.33,489, 00:00:52, 00:00:46.6666667,17,3,13,100,0.745762712,31, 00:01:40, 00:00:42.4000000,11,5,3
34,47.78,165, 00:01:26, 00:00:09.3333333,6,8,14,100,0.661538462,31, 00:01:45.9574468, 00:01:04.1860465,5,3,7
35,53.33,142, 00:01:02.6666667, 00:00:07.3333333,17,4,2,100,0.1,4, 00:01:32.8571429, 00:00:36.2500000,1,0,1
36,85.56,544, 00:00:40, 00:00:50.6666667,22,1,6,100,0.428571429,7, 00:00:50.7692308, 00:00:38.1818182,4,1,1
37,84.44,390, 00:00:40, 00:00:28,19,1,13,100,0.326923077,5, 00:01:08.5714286, 00:00:34.7368421,10,3,3
38,64.44,304, 00:01:04, 00:00:36,8,5,11,100,0.301587302,12, 00:01:26.2500000, 00:00:51.7241379,7,4,6
39,80,461, 00:00:32.6666667, 00:00:34.6666667,24,0,13,100,0.215909091,4, 00:00:50, 00:00:28.3333333,9,5,7
40,61.11,154, 00:00:50.6666667, 00:00:00,14,1,2,100,0,0, 00:00:48, 00:00:52.3636364,0,1,1
41,90,386, 00:00:44.6666667, 00:00:58,19,5,6,100,0.9375,44, 00:01:53.3333333, 00:00:37.0370370,9,1,0
42,78.89,370, 00:00:51.3333333, 00:00:42,13,3,10,100,0.057692308,2, 00:01:09.4736842, 00:00:46.4788732,5,3,3
43,78.89,597, 00:00:48, 00:00:44,17,2,13,100,0.886792453,28, 00:01:12.6315789, 00:00:41.4084507,11,6,2
44,65.56,447, 00:00:58.6666667, 00:00:37.3333333,12,5,16,100,0.464788732,14, 00:01:17.4193548, 00:00:48.8135593,11,5,7
45,88.89,406, 00:00:48, 00:00:46,22,4,6,100,0.303571429,15, 00:02:12, 00:00:37.5000000,4,1,1
46,65.56,162, 00:01:16, 00:00:44,12,7,15,100,0.355555556,5, 00:01:42.5806452, 00:01:02.0338983,9,2,9
47,82.22,137, 00:00:50.6666667, 00:00:18.6666667,22,3,8,100,0.348837209,6, 00:02:26.2500000, 00:00:30,2,3,4
48,85.56,367, 00:00:54, 00:00:36,12,5,6,100,0.0625,2, 00:01:18.4615385, 00:00:49.8701299,4,2,0
49,76.67,402, 00:01:00, 00:00:34.6666667,11,3,14,100,0.375,11, 00:01:11.4285714, 00:00:56.5217391,9,3,3
50,72.22,397, 00:01:06.6666667, 00:00:42.6666667,16,6,18,100,0.571428571,32, 00:01:50.4000000, 00:00:49.8461538,9,9,7
51,95.56,448, 00:00:31.3333333, 00:00:32,23,0,0,100,0.5,26, 00:01:00, 00:00:30,0,0,0
52,52.22,760, 00:01:11.3333333, 00:00:32,12,6,24,100,0.608108108,20, 00:01:22.3255814, 00:01:01.2765957,12,6,8
53,60,548, 00:01:01.3333333, 00:00:28.6666667,11,2,8,100,2.777777778,72, 00:01:15, 00:00:52.2222222,6,1,1
54,73.33,418, 00:00:47.3333333, 00:00:40,17,3,7,100,0.489795918,17, 00:01:05, 00:00:40.9090909,3,4,1
55,74.44,293, 00:00:44, 00:00:21.3333333,15,0,9,100,0.166666667,9, 00:01:02.6086957, 00:00:37.6119403,7,3,4
56,66.67,417, 00:01:01.3333333, 00:00:42,11,3,16,100,0.31147541,6, 00:01:38, 00:00:43,8,10,5
57,83.33,143, 00:01:02, 00:00:04,17,5,4,100,0.2,6, 00:01:20, 00:00:58.4000000,4,0,0
